# x, y, dx, dy
6.830000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e-01,-5.000000000000000000e-01
6.990000000000000000e+02,2.900000000000000000e+01,5.714285714285551876e-01,-1.428571428571423496e-01
7.703333333333333712e+02,3.433333333333333570e+01,6.666666666666287711e-01,1.666666666666642982e-01
5.155000000000000000e+02,3.750000000000000000e+01,1.666666666666287711e-01,-1.666666666666642982e-01
5.195000000000000000e+02,3.900000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00
7.013999999999999773e+02,4.239999999999999858e+01,2.666666666666515084e-01,1.666666666666571928e-02
4.208000000000000114e+02,4.660000000000000142e+01,0.000000000000000000e+00,-2.000000000000028422e-01
8.305000000000000000e+02,4.800000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00
5.450000000000000000e+02,5.100000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00
7.440000000000000000e+02,5.600000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00
8.402000000000000455e+02,5.933333333333333570e+01,4.428571428570649005e-01,-1.190476190476204010e-01
5.060000000000000000e+02,6.050000000000000000e+01,1.999999999999886313e-01,-1.100000000000001421e+00
6.855000000000000000e+02,6.100000000000000000e+01,8.333333333333712289e-01,3.333333333333357018e-01
3.460000000000000000e+02,6.200000000000000000e+01,-1.500000000000000000e+00,0.000000000000000000e+00
6.735000000000000000e+02,6.300000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00
8.145000000000000000e+02,6.300000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00
5.328333333333333712e+02,6.500000000000000000e+01,1.166666666666628771e+00,-1.000000000000000000e+00
6.638333333333333712e+02,6.450000000000000000e+01,1.366666666666674246e+00,-9.999999999999431566e-02
3.000000000000000000e+02,6.600000000000000000e+01,0.000000000000000000e+00,-2.500000000000000000e-01
3.340000000000000000e+02,7.100000000000000000e+01,-1.000000000000000000e+00,0.000000000000000000e+00
5.242000000000000455e+02,7.100000000000000000e+01,1.000000000000000000e+00,-4.000000000000056843e-01
6.945000000000000000e+02,7.000000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00
3.170000000000000000e+02,7.250000000000000000e+01,-5.000000000000000000e-01,0.000000000000000000e+00
2.838000000000000114e+02,7.759999999999999432e+01,-6.000000000000227374e-01,-1.999999999999886313e-01
3.180000000000000000e+02,7.750000000000000000e+01,-5.000000000000000000e-01,0.000000000000000000e+00
5.730000000000000000e+02,8.000000000000000000e+01,1.500000000000000000e+00,-5.000000000000000000e-01
6.460000000000000000e+02,8.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
5.813999999999999773e+02,8.220000000000000284e+01,1.399999999999977263e+00,-7.999999999999971578e-01
6.842500000000000000e+02,8.275000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
6.279999999999999716e+01,8.440000000000000568e+01,-5.999999999999943157e-01,1.999999999999886313e-01
5.662000000000000455e+02,8.459999999999999432e+01,1.085714285714288962e+00,-1.714285714285637141e-01
6.025000000000000000e+02,8.450000000000000000e+01,1.299999999999954525e+00,-9.999999999999431566e-02
6.605000000000000000e+02,8.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
5.902000000000000455e+02,8.840000000000000568e+01,1.799999999999954525e+00,-4.000000000000056843e-01
9.270000000000000000e+02,8.800000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00
2.448000000000000114e+02,9.259999999999999432e+01,-1.600000000000022737e+00,-1.999999999999886313e-01
6.230000000000000000e+02,9.550000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00
5.672000000000000455e+02,9.740000000000000568e+01,1.299999999999954525e+00,9.999999999999431566e-02
6.070000000000000000e+02,9.750000000000000000e+01,1.799999999999954525e+00,-9.999999999999431566e-02
9.275000000000000000e+02,9.600000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00
6.770000000000000000e+02,9.850000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.020000000000000000e+02,1.010000000000000000e+02,-1.000000000000000000e+00,0.000000000000000000e+00
4.510000000000000000e+02,1.015000000000000000e+02,-2.199999999999988631e+00,-9.999999999999431566e-02
7.540000000000000000e+02,1.025000000000000000e+02,1.285714285714334437e+00,7.142857142856939845e-02
8.841666666666666288e+02,1.041666666666666714e+02,4.333333333333939663e-01,1.333333333333257542e-01
5.915000000000000000e+02,1.060000000000000000e+02,1.500000000000000000e+00,2.500000000000000000e-01
8.165000000000000000e+02,1.070000000000000000e+02,1.166666666666628771e+00,-3.333333333333285964e-01
9.385000000000000000e+02,1.100000000000000000e+02,5.000000000000000000e-01,0.000000000000000000e+00
1.335000000000000000e+02,1.123333333333333286e+02,-3.333333333333428072e-01,0.000000000000000000e+00
8.266000000000000227e+02,1.152000000000000028e+02,8.999999999999772626e-01,1.333333333333257542e-01
8.403333333333333712e+02,1.146666666666666714e+02,1.166666666666628771e+00,-1.666666666666714036e-01
3.050000000000000000e+02,1.190000000000000000e+02,-1.000000000000000000e+00,0.000000000000000000e+00
6.225000000000000000e+02,1.196666666666666714e+02,1.071428571428555188e+00,4.761904761904673933e-01
8.407272727272727479e+02,1.186818181818181870e+02,1.432727272727220225e+00,7.818181818181813014e-02
8.497999999999999545e+02,1.185999999999999943e+02,5.333333333334167037e-01,6.666666666667708796e-02
5.700000000000000000e+02,1.200000000000000000e+02,1.666666666666628771e+00,3.333333333333285964e-01
8.455000000000000000e+02,1.250000000000000000e+02,7.000000000000454747e-01,4.000000000000056843e-01
4.298000000000000114e+02,1.284000000000000057e+02,-2.000000000000000000e+00,1.999999999999886313e-01
