# x, y, dx, dy
5.602457627118643586e+02,3.197033898305084776e+01,4.169823861748227500e-01,-6.103672316384180618e+00
2.395121951219512084e+02,6.900000000000000000e+01,-1.512195121951208421e+00,-2.000000000000000000e+00
7.803534482758620925e+02,9.570689655172414234e+01,3.283719865730859055e+00,-5.317516020750687744e+00
1.776779661016949206e+02,1.089152542372881385e+02,-1.796610169491543729e+00,-2.118644067796608965e+00
4.380000000000000000e+02,1.239333333333333371e+02,-1.000000000000000000e+00,-6.010256410256417325e+00
4.650967741935484128e+02,1.293225806451612812e+02,-5.513196480938518107e-01,-2.413489736070374647e+00
2.256111111111111143e+02,1.288888888888888857e+02,1.216475095785426674e+00,5.938697318007655213e+00
5.524500000000000455e+02,1.430999999999999943e+02,1.698148148148106884e+00,-6.896296296296299033e+00
8.061764705882352473e+02,1.506470588235294201e+02,-4.178498985801297749e-01,1.663286004056800493e+00
5.367551020408163822e+02,1.762857142857142776e+02,1.381261595547243815e+00,-2.081168831168810129e+00
2.345645161290322562e+02,1.807258064516128968e+02,-8.664029214850756944e-01,-1.461655508216665567e+00
7.786562500000000000e+02,2.130937500000000000e+02,2.235641891891873456e+00,-2.418074324324322788e+00
5.275333333333333030e+02,2.397333333333333201e+02,1.506666666666660603e+00,-8.133333333333325754e+00
6.966250000000000000e+02,2.385000000000000000e+02,1.152777777777828305e+00,8.333333333333428072e-01
5.918571428571428896e+02,2.494523809523809632e+02,2.799107142857110375e+00,-4.639880952380963208e+00
4.119677419354838435e+02,2.772903225806451815e+02,-3.020373514431184958e+00,-2.290322580645181461e+00
3.874800000000000182e+02,2.773600000000000136e+02,-2.532631578947359685e+00,-1.781052631578972978e+00
5.506250000000000000e+02,2.743750000000000000e+02,5.000000000000000000e-01,-1.625000000000000000e+00
6.248857142857142435e+02,2.838571428571428328e+02,2.114285714285756512e+00,-3.018433179723501780e+00
5.795581395348837077e+02,2.847209302325581461e+02,1.641860465116337764e+00,4.290697674418311180e-01
5.909361702127660010e+02,2.906595744680851112e+02,2.597163120567302030e+00,-3.459574468085122589e+00
9.239512195121951663e+02,2.928780487804878021e+02,2.146341463414614736e+00,-1.219512195121922105e+00
5.693913043478261216e+02,3.495652173913043725e+02,1.108695652173878443e+00,7.919254658384602408e-01
8.390000000000000000e+02,3.550000000000000000e+02,1.250000000000000000e+00,-5.000000000000000000e-01
3.679259259259259238e+02,3.664814814814814667e+02,-7.830687830687566020e-01,4.042328042328051652e+00
